,race,rank_id,horse_no,actual_pound,position,head_distance,participants,blocking_1,blocking_2,blocking_3,blocking_4,blocking_5,blocking_6,temper,order,distance,narrow,ground
46,202005036,626,A305,0.825,0.25,0.8125,0.6,0.5,0.5,1,0,0,0,0.530379041,1,0.166666667,0,0.5
47,202005036,626,D115,0.575,0.916666667,0.6875,0.6,0.166666667,0.333333333,0.916666667,0,0,0,0.327380952,0.916666667,0.166666667,0,0.5
48,202005036,626,T134,0.725,0.75,0.541666667,0.6,1,0.75,0.833333333,0,0,0,0.489614812,0.833333333,0.166666667,0,0.5
49,202005036,626,C453,0.275,0.416666667,0,0.6,0.25,0.166666667,0.083333333,0,0,0,0.40625,0.083333333,0.166666667,0,0.5
50,202005035,625,C328,0.575,0.214285714,0.428571429,0.7,0.285714286,0.428571429,0.642857143,0,0,0,0.300137363,0.642857143,0.166666667,0.714285714,1
51,202005035,625,B272,0.35,0.857142857,0.375,0.7,0.714285714,0.785714286,0.571428571,0,0,0,0.517445055,0.571428571,0.166666667,0.714285714,1
52,202005035,625,D191,0.55,0.571428571,0.285714286,0.7,0.857142857,0.928571429,0.5,0,0,0,0.535714286,0.5,0.166666667,0.714285714,1
53,202005035,625,B383,0.625,0.357142857,0.285714286,0.7,0.428571429,0.357142857,0.428571429,0,0,0,0.51510989,0.428571429,0.166666667,0.714285714,1
54,202005035,625,B337,0.65,0.5,0.267857143,0.7,0.071428571,0.071428571,0.357142857,0,0,0,0.333333333,0.357142857,0.166666667,0.714285714,1
55,202005035,625,B216,0.575,0.142857143,0.107142857,0.7,0.214285714,0.285714286,0.285714286,0,0,0,0.408954795,0.285714286,0.166666667,0.714285714,1
56,202005035,625,C376,0.55,1,0.107142857,0.7,0.928571429,0.857142857,0.214285714,0,0,0,0.641483516,0.214285714,0.166666667,0.714285714,1
57,202005035,625,C065,0.425,0.642857143,0,0.7,0.785714286,0.714285714,0.142857143,0,0,0,0.686848408,0.142857143,0.166666667,0.714285714,1
58,202005035,625,D277,0.525,0.285714286,0.714285714,0.7,0.642857143,0.571428571,1,0,0,0,0.321428571,1,0.166666667,0.714285714,1
59,202005035,625,D318,0.625,0.928571429,0.607142857,0.7,1,1,0.928571429,0,0,0,0.535714286,0.928571429,0.166666667,0.714285714,1
